Station ID,MAE,MSE,MAE All,MSE All,Source
93110,2.466822825323929,10.10887978042691,"[2.452934052561986, 2.385445005111111, 2.3988895982883034, 2.5440591322516264, 2.467526404176152, 2.4966392237296864, 2.4564491169082596, 2.428030370391962, 2.482606112987334, 2.511762795921501, 2.454225159055405, 2.535497292186165]","[10.697458730529851, 10.539184553500414, 9.916970553311035, 10.702638393587668, 9.989118419545388, 10.657340792601323, 10.224099123306718, 10.5834193209579, 10.40964235218974, 10.376129274917238, 9.970443652837956, 10.727144827426288]",base + topology
93245,2.501794165549627,10.454887227437679,"[2.509110821537087, 2.350541294500726, 2.4107410340313207, 2.386643144334142, 2.4224103091630615, 2.5071879670820176, 2.536438716398244, 2.478251908692996, 2.5202692886041915, 2.54136541967578, 2.4688988242339436, 2.409871342952622]","[10.460737557707258, 9.482130111957161, 9.35430450605149, 9.379326216310384, 9.465395805230758, 11.003011443235252, 11.282707262296354, 10.433375159667087, 10.477659789254174, 10.656428373172483, 10.290259590727278, 10.331974233930213]",base + topology
93439,3.4366227350189713,22.478813762408343,"[3.5783885612745436, 3.524231112126686, 3.638848473716312, 3.763808631787323, 3.7310000999729764, 3.841976175617644, 3.6708714305931944, 3.6661427482501443, 3.8266550103286514, 3.818228471628648, 3.731764088431297, 3.7822758357364017]","[25.337739053927468, 24.054237068547213, 25.114338461214565, 27.159524488047914, 25.947711548396693, 27.392837619832093, 24.476453122237125, 25.98935313257751, 25.56378076164279, 26.59813435934651, 26.88354433010994, 28.04253023335311]",base + topology
93781,2.798680506592306,18.48876448549507,"[2.790423490765953, 3.0085544047307, 2.932718576217184, 3.1110525064322396, 2.970663693729713, 2.906344981704439, 3.158788657107321, 3.1478282087108727, 3.169757259013705, 3.092825179683917, 2.9693709447675833, 2.852986799292014]","[20.585348259356596, 25.348235713441163, 26.01872472987956, 29.588923657236702, 25.73899079709957, 23.304186261732458, 22.60218082616269, 20.231365087797293, 19.02560077202753, 18.58092795659358, 16.84696562965194, 15.687955396555493]",base + topology
93831,2.4792711502449865,10.905408048998193,"[2.59057769645969, 2.6424715574764415, 2.598881889542248, 2.6917139288729985, 2.6511515549424325, 2.6006301428525505, 2.5757751366564343, 2.460930010623302, 2.4870648063776173, 2.445753984232895, 2.43905020560927, 2.6457378225674364]","[11.542623706536787, 11.8942579450393, 12.340380373131488, 13.670710802438332, 13.055018295113083, 12.99146178474059, 11.89547520474613, 10.436687632857684, 10.35153101991529, 9.746750437978722, 10.263669413191355, 12.094548341344067]",base + topology
93110,4.260588045992127,32.47090887966482,"[4.232215877644066, 4.133263193519371, 4.064200681853062, 4.086383591809321, 4.295916810544949, 4.033676798366805, 4.091577523425946, 4.210302925572811, 4.367602906643764, 4.2264806960392916, 4.710499790339792, 4.67493575614633]","[29.296671974932412, 28.6789898299057, 29.11393309363411, 29.974823364724678, 33.12906837062665, 31.307614724181075, 34.02503752289016, 34.478404762184724, 33.57080793486209, 31.944118500333584, 37.07096869788503, 37.06046777981754]",scaled-base + topology
93245,3.8108157651324106,25.5250902470359,"[4.10751196527944, 4.096458485520003, 3.950108577209768, 3.9300801369750387, 3.9476966709766583, 3.947588447459693, 3.9179482904452723, 3.3055545570780933, 3.3100481172209806, 3.624525259073498, 3.6663911601872137, 3.9258775141632696]","[30.962301453372632, 30.299621525178786, 27.642339124784517, 27.17475590473731, 27.513796520869, 27.74360956702077, 27.744546854836898, 17.554827019200452, 18.94973486614473, 22.162046749648084, 22.528056498198026, 26.02544688043967]",scaled-base + topology
93439,7.975603499979076,117.8141861134652,"[7.3368976375844195, 7.377520197688944, 7.612340749608407, 7.516568760824678, 7.833334729222967, 8.081888275335332, 8.008412590593396, 8.074920378581131, 8.184568019904715, 8.424598585260975, 8.490941073162716, 8.765251001981225]","[94.06914689588547, 98.40282207442935, 96.91090119423264, 106.21658741135818, 116.27270880846946, 120.72149153168877, 126.24149890524545, 124.5517168553248, 127.03199154141707, 133.32768427454752, 131.58305056260323, 138.44063330638036]",scaled-base + topology
93781,3.6312138861948897,20.788328879662615,"[3.4811235730010672, 3.795142119001635, 4.048243686940411, 3.8244488876644938, 3.5978548918620192, 3.4744795704832168, 3.342370522376334, 3.1647120995096643, 3.4213007502036517, 3.8000119190404913, 4.208016353078408, 3.416862261177289]","[19.689397963598406, 22.072347826237795, 24.175529874183006, 21.838796457781854, 21.097965771026438, 18.717775899527062, 17.951665620254108, 16.452259301514513, 18.90101935230989, 22.22586207788131, 27.15427758644933, 19.183048825187687]",scaled-base + topology
93831,3.158595408938078,17.41241731154776,"[2.826952967597442, 2.919400961422226, 3.3711644033783856, 2.946148565440501, 3.0914964717568703, 3.1539627260374785, 3.153736883922688, 3.157713362777117, 3.3977193327783373, 3.3952338177023558, 3.3423667023482833, 3.1472487120952426]","[13.769684909241498, 14.002841656278395, 17.763657515217304, 13.703087047702017, 16.520515033451158, 17.26822448909041, 16.991215684138933, 19.758308722953444, 21.76603022190391, 20.332010477460603, 19.875320736064776, 17.198111245070628]",scaled-base + topology
93110,4.389429085559444,32.02961089242553,"[4.625922177138837, 4.3520329051804785, 4.2285308092543215, 4.241572410620533, 4.307205102976084, 3.906453695806485, 4.1501822784109015, 4.2709143129367275, 4.397254341088452, 4.339218296588045, 4.7944062293154515, 5.059456467397005]","[33.86204954608514, 31.852127465377727, 29.712080837743695, 30.146541218570277, 30.248056493411426, 26.65496494330478, 30.57781762004737, 32.12319050061794, 32.951607763240396, 29.637803559279437, 37.27006689746743, 39.319023863960794]",tfm-xreg + topology
93245,4.062862247624057,26.8760200393248,"[4.16742120784463, 4.215813109712695, 4.187640047304839, 3.931360672284098, 4.086796835209561, 4.036068087642633, 3.917551296891518, 3.814241360692144, 3.886116894934941, 4.234590783859921, 4.016709060576359, 4.26003761453536]","[29.116960255989767, 28.991987687033415, 25.927423916545198, 25.33960836598468, 26.55293345267196, 27.348226131497487, 27.786844020297263, 22.7617537698745, 24.094514871093857, 27.83622347235089, 26.725850293979324, 30.029914234579245]",tfm-xreg + topology
93439,6.844091767603809,74.13465205412176,"[6.368395400755477, 6.481661265439328, 6.541362490984473, 6.6242488582535595, 6.612012333917146, 6.876496521317129, 6.820602436821059, 6.8897983022255485, 6.774062154788786, 7.261334512729456, 7.281131300123607, 7.597995633890131]","[61.36500691260996, 63.66321429466228, 65.60398355423418, 66.89491212282282, 74.20544264400122, 78.03694461446028, 80.1260018028583, 78.45816043463783, 76.59481502579234, 80.87785131834495, 78.85238142531136, 84.9371104997256]",tfm-xreg + topology
93781,4.082513508800626,30.221260637398938,"[4.030239595281015, 4.284227249882009, 4.56724145436051, 4.47391555993864, 4.3497443175551895, 4.04151559537, 3.913334972551554, 3.640766145687292, 3.7446111417052768, 3.8797861094522013, 4.1704308828504955, 3.8943490809733325]","[29.475005526534645, 31.557431391285146, 35.23615416453712, 31.761066000583625, 33.517916534904025, 29.9489989220192, 29.776752838655884, 25.771142908911145, 25.793109284368274, 28.502575262715357, 32.190995271215876, 29.123979543056898]",tfm-xreg + topology
93831,3.5044354863151375,20.479550834249295,"[3.084786419266636, 3.028261628660184, 3.090521804568837, 3.1950212492526155, 3.4717700847144264, 3.484066082204431, 3.5747062821990068, 3.761361310088518, 3.924958128142125, 3.9686194026354427, 4.0396289237494605, 3.4295245202999687]","[15.982492823503701, 15.204091709278007, 15.463207099270575, 15.715927609548801, 19.179059842942213, 19.356033147016618, 20.812348122345533, 24.364654613099667, 26.917999950828804, 26.839178070026318, 26.114857817587637, 19.8047592055437]",tfm-xreg + topology
93110,2.1380375787583312,7.440038610375681,"[2.16757399334627, 2.0628188927968347, 1.9258529691135184, 2.3564069383284627, 2.3776101486355645, 1.994922851799361, 2.02267004330953, 1.8552246299444461, 2.024221304351208, 2.4315175589393156, 2.1609478810254266, 2.2766837335100365]","[7.605178256181422, 6.824876739370919, 5.883815650579864, 8.142497361527303, 9.60638522630876, 6.118880003326927, 6.448366497128399, 6.1920867900060435, 7.414016503788712, 9.327245708553397, 7.703812304306359, 8.013302283430077]",base
93245,2.2652508345174893,8.542797558965162,"[2.310499244110257, 2.4745792300093408, 2.423582583938549, 2.232164851356955, 1.9513673755857672, 2.228568395913815, 2.151030958867541, 2.258896818348006, 2.071433909734091, 2.123427199382407, 2.4019468961977495, 2.5555125507653926]","[9.309258069071904, 10.633453701121839, 9.196724495825581, 7.961891252669601, 6.305597972891262, 8.196898380139675, 7.181934192206939, 8.256401293117092, 7.5262928881078635, 7.593404769939388, 9.626602502809911, 10.725111189680886]",base
93439,3.2331428477706994,17.99498359534976,"[2.9533396948616244, 2.9935579240931163, 3.5140176137420087, 3.585813579648873, 3.1725105393890902, 3.625456779011702, 3.052549221133105, 3.3760134205374386, 3.626932694588666, 3.316201348385077, 2.7329849115164695, 2.8483364463412153]","[15.863886749763202, 14.931054369064777, 20.994828382215278, 20.375555898502974, 15.986325733044922, 20.645696256900933, 15.25975586051497, 22.121593494703248, 20.7040782601913, 19.761100044467216, 14.32253571190527, 14.973392382923016]",base
93781,2.722458764761362,12.234637766504521,"[3.0508080538581406, 2.467736757035348, 2.2074319797403676, 2.355155944824219, 2.685149664972342, 3.2466723591673596, 2.571838667345981, 2.9991936814551257, 2.8851157549939117, 2.7366124405580408, 2.570325552404317, 2.893464320781186]","[14.775156660378153, 10.89636981248592, 7.971243808465191, 9.499102794724113, 11.100141723364844, 16.24382133836015, 10.381698929652927, 15.039542336864415, 13.143498170305127, 12.48458951216073, 10.511882047971977, 14.76860606332069]",base
93831,2.5918800273102613,11.378696179691637,"[2.8600745612499763, 2.7599642000946347, 2.4201629526474893, 2.263275745491576, 2.5989909265555604, 2.5122237397175207, 2.308217540909261, 2.914880321540085, 2.8652525826996436, 2.4455978776894374, 2.639595233225354, 2.5143246459025956]","[14.658975720803696, 12.129267316211106, 9.797871927901529, 9.776702498869208, 10.865226471979511, 10.82542868787954, 9.023706244767553, 14.380386756969617, 13.42663136337842, 9.534949497251763, 10.74396765027333, 11.381240020014394]",base
93110,2.1380375787583312,7.440038610375681,"[2.16757399334627, 2.0628188927968347, 1.9258529691135184, 2.3564069383284627, 2.3776101486355645, 1.994922851799361, 2.02267004330953, 1.8552246299444461, 2.024221304351208, 2.4315175589393156, 2.1609478810254266, 2.2766837335100365]","[7.605178256181422, 6.824876739370919, 5.883815650579864, 8.142497361527303, 9.60638522630876, 6.118880003326927, 6.448366497128399, 6.1920867900060435, 7.414016503788712, 9.327245708553397, 7.703812304306359, 8.013302283430077]",scaled-base
93245,2.265250906978038,8.542797877157797,"[2.3104994638293395, 2.4745793235068225, 2.4235826680862833, 2.232164895768259, 1.9513673989601377, 2.228568510448231, 2.15103087238237, 2.2588968650967467, 2.071433914408965, 2.1234274588379196, 2.401946910222372, 2.5555126021890078]","[9.309258993244484, 10.633454089677876, 9.196725023711963, 7.961891060069001, 6.305598029766834, 8.196899079071878, 7.181933955266936, 8.256400836247089, 7.5262929816130235, 7.593405915580695, 9.626603066510024, 10.725111495133763]",scaled-base
93439,3.2331428477706994,17.99498359534976,"[2.9533396948616244, 2.9935579240931163, 3.5140176137420087, 3.585813579648873, 3.1725105393890902, 3.625456779011702, 3.052549221133105, 3.3760134205374386, 3.626932694588666, 3.316201348385077, 2.7329849115164695, 2.8483364463412153]","[15.863886749763202, 14.931054369064777, 20.994828382215278, 20.375555898502974, 15.986325733044922, 20.645696256900933, 15.25975586051497, 22.121593494703248, 20.7040782601913, 19.761100044467216, 14.32253571190527, 14.973392382923016]",scaled-base
93781,2.722458764761362,12.234637766504521,"[3.0508080538581406, 2.467736757035348, 2.2074319797403676, 2.355155944824219, 2.685149664972342, 3.2466723591673596, 2.571838667345981, 2.9991936814551257, 2.8851157549939117, 2.7366124405580408, 2.570325552404317, 2.893464320781186]","[14.775156660378153, 10.89636981248592, 7.971243808465191, 9.499102794724113, 11.100141723364844, 16.24382133836015, 10.381698929652927, 15.039542336864415, 13.143498170305127, 12.48458951216073, 10.511882047971977, 14.76860606332069]",scaled-base
93831,2.5918800273102613,11.378696179691637,"[2.8600745612499763, 2.7599642000946347, 2.4201629526474893, 2.263275745491576, 2.5989909265555604, 2.5122237397175207, 2.308217540909261, 2.914880321540085, 2.8652525826996436, 2.4455978776894374, 2.639595233225354, 2.5143246459025956]","[14.658975720803696, 12.129267316211106, 9.797871927901529, 9.776702498869208, 10.865226471979511, 10.82542868787954, 9.023706244767553, 14.380386756969617, 13.42663136337842, 9.534949497251763, 10.74396765027333, 11.381240020014394]",scaled-base
93110,2.8681186740564626,13.185196472518141,"[2.461963103331772, 2.5558262923184576, 2.8677872914893956, 3.1022509967579555, 2.940214838233649, 2.805636913386824, 2.951195856730143, 2.4127151465883445, 2.7139343088748413, 3.295664360476475, 3.2468125745361935, 3.0634224059535016]","[10.946396129095938, 10.723806103335704, 12.959079668856157, 14.50451231623279, 13.966153305872512, 13.611454493570921, 13.667003096074493, 10.283933618465818, 11.310887362583333, 16.04497490044854, 16.561539341644423, 13.642617334037082]",tfm-xreg
